,sender,receiver,amount,sent_date
499,adam.saunders,king3246,57.25,2018-08-24
500,rebecca848,edward1527,37.06,2018-08-24
501,greg5920,diane4652,18.6,2018-08-24
502,robinson5269,joseph.lopez,24.7,2018-08-24
503,andrew6347,amiller,5.09,2018-08-25
504,gregory7148,sward,20.81,2018-08-25
505,singh2309,henry,12.13,2018-08-25
506,samuel.conner,shari,9.76,2018-08-25
507,dennis4593,rebecca848,41.9,2018-08-25
508,eharding,gregory.rios,70.83,2018-08-25
509,gregory.rios,hamilton,57.64,2018-08-25
510,robert284,laura,91.11,2018-08-25
511,danielle,mackenzie,64.56,2018-08-25
512,kent,taylor7649,8.85,2018-08-25
513,wilson,jaime6887,10.97,2018-08-25
514,denise3770,decker1985,83.5,2018-08-26
515,bishop,nancy,98.08,2018-08-26
516,michael7792,kim1649,64.17,2018-08-26
517,sfinley,austin,16.17,2018-08-26
518,donald1420,adam.saunders,91.84,2018-08-26
519,sherry6113,dennis,55.32,2018-08-26
520,johnston2281,brett643,69.15,2018-08-26
521,kelly7722,michael.williams,8.59,2018-08-26
522,heather,miguel.gamble,65.92,2018-08-27
523,mikayla.west,andersen,97.18,2018-08-27
524,davis9225,rsnow,10.22,2018-08-27
525,walters2042,coleman,86.08,2018-08-27
526,kelly7722,bsmith,86.67,2018-08-27
527,kpratt,angela7209,99.05,2018-08-27
528,shelly,jose.moreno,61.42,2018-08-27
529,margaret265,lmoore,99.74,2018-08-27
530,patricia2613,smith,47.48,2018-08-27
531,mark8466,gail2190,30.02,2018-08-27
532,david.barnett,wesley.hayes,30.53,2018-08-27
533,tammy.brown,sherry6113,96.86,2018-08-27
534,william2231,gail2190,7.5,2018-08-28
535,payne,greg5920,18.66,2018-08-28
536,lisa7840,melissa.mendoza,77.02,2018-08-28
537,daniel,lauren,38.16,2018-08-28
538,roberts,heather,49.83,2018-08-28
539,staylor,ekidd,96.97,2018-08-28
540,spadilla,sandra.vaughn,4.34,2018-08-29
541,margaret265,paige.lewis,74.74,2018-08-29
542,helen5691,bishop,42.83,2018-08-29
543,amiller,william4588,0.63,2018-08-29
544,matthew5486,john.smith,68.68,2018-08-29
545,sarah,lspencer,44.89,2018-08-29
546,reid,michael7792,54.05,2018-08-29
547,miranda6426,michelle4225,95.22,2018-08-29
548,bowers9648,denise3770,44.18,2018-08-29
549,martin,john.hardy,74.81,2018-08-30
550,hamilton,sstanton,18.93,2018-08-30
551,hayes2585,dean2365,57.13,2018-08-30
552,jacob,manning8686,48.03,2018-08-30
553,taylor1468,zachary.neal,55.02,2018-08-30
554,tbender,butler,57.02,2018-08-30
555,mark20,christopher5982,54.27,2018-08-30
556,bernard,lewis8579,38.97,2018-08-30
557,matthew7940,dean2365,70.98,2018-08-30
558,spence,bradley3953,22.99,2018-08-31
559,jordan5739,tjohnson,51.56,2018-08-31
560,ehernandez,erin4486,6.08,2018-08-31
561,aaron,stephanie5596,17.2,2018-08-31
562,nicholas.travis,jeremy1104,41.95,2018-08-31
563,mjohnson,steven3847,76.37,2018-08-31
564,brett643,parsons,5.38,2018-08-31
565,jose.moreno,donald1420,28.19,2018-08-31
566,robinson5269,edwards8658,55.1,2018-08-31
567,bsmith,bgreen,61.86,2018-08-31
568,michael7792,mburke,92.13,2018-08-31
569,jennifer.wong,theresa5909,55.95,2018-08-31
570,erin,burton6737,69.77,2018-08-31
571,bradley,aaron,98.52,2018-08-31
572,donald3362,tmaxwell,87.04,2018-08-31
573,kyle.gentry,lewis8579,71.37,2018-08-31
574,bpowers,miranda6426,1.91,2018-08-31
575,timothy.heath,gregory9829,51.54,2018-09-01
576,donald1420,caleb,13.66,2018-09-01
577,eharding,kent,12.95,2018-09-01
578,tina3658,kirk,47.2,2018-09-01
579,wesley.hayes,christopher,90.91,2018-09-01
580,lawson,owens,71.88,2018-09-02
581,madison,jennifer.wong,49.36,2018-09-02
582,peters1942,krystal,19.82,2018-09-02
583,william4588,joshua3747,99.11,2018-09-02
584,hunt3408,anthony3761,0.67,2018-09-02
585,nichols,dedwards,86.99,2018-09-02
586,dean2365,paul9642,15.52,2018-09-02
587,adam.saunders,marcus.berry,17.46,2018-09-02
588,danderson,donna1922,79.22,2018-09-02
589,mjohnson,arosario,67.89,2018-09-02
590,isabella,christina.banks,24.41,2018-09-02
591,nicholas.padilla,gregory9829,88.63,2018-09-02
592,lmoore,william4588,64.46,2018-09-02
593,bradley3953,cjones,74.49,2018-09-02
594,staylor,roman7509,57.68,2018-09-02
595,bpowers,melanie,29.61,2018-09-02
596,donald1420,steven,55.93,2018-09-03
597,cox192,sandra2071,86.67,2018-09-03
598,jackson4431,sarah,49.11,2018-09-03
599,roger,moore,55.58,2018-09-03
600,katherine,daniel.livingston,58.45,2018-09-03
601,danderson,harmon,94.3,2018-09-03
602,kimberly,nichols,1.27,2018-09-03
603,mark,watts,64.95,2018-09-03
604,scott3928,sexton,55.38,2018-09-04
605,kristina.miller,lawrence1685,65.74,2018-09-04
606,lucero5925,lspencer,88.06,2018-09-04
607,jonathan5101,tara.clark,36.18,2018-09-04
608,timothy3285,edwards,45.96,2018-09-04
609,graham,gerald.bryant,43.07,2018-09-05
610,donald1420,king,45.46,2018-09-05
611,austin,epeters,84.3,2018-09-05
612,diane4652,zachary.neal,53.19,2018-09-05
613,sexton,robinson5269,54.47,2018-09-05
614,sexton,parker4621,54.1,2018-09-05
615,king,sarah.evans,38.35,2018-09-05
616,elang,twebster,2.64,2018-09-05
617,jason4651,krystal,76.81,2018-09-05
618,kpratt,brooke2027,51.34,2018-09-05
619,theresa5909,sarah,29.15,2018-09-05
620,megan.terry,michael.williams,28.17,2018-09-06
621,lowe,msolis,92.45,2018-09-06
622,king,jason7792,46.37,2018-09-06
623,hall,lindsay.coleman,42.54,2018-09-06
624,wesley.hayes,david5498,87.57,2018-09-06
625,michael7792,tmaxwell,25.02,2018-09-06
626,anthony1788,aaron,8.1,2018-09-06
627,michael7792,sandra.vaughn,32.72,2018-09-06
628,medina891,maria955,53.65,2018-09-06
629,melissa.mendoza,marcus.berry,71.48,2018-09-06
630,diane4652,daniel.williams,81.92,2018-09-06
631,timothy3285,gibson9198,43.36,2018-09-06
632,brandon.gilbert,martha6969,87.19,2018-09-06
633,rogers,bradley,84.25,2018-09-06
634,lucero5925,tina3658,57.0,2018-09-07
635,lisa7840,mark1376,46.93,2018-09-07
636,porter,jramos,81.19,2018-09-07
637,jessica3924,lawrence1685,46.69,2018-09-07
638,jackson4431,johnston2281,65.99,2018-09-07
639,martin,lawrence1685,25.4,2018-09-07
640,dawn.juarez,martha6969,54.91,2018-09-07
641,gary.mitchell,carl.fox,90.82,2018-09-08
642,tanya.carlson,hamilton4258,43.88,2018-09-08
643,donald1420,smith9087,15.39,2018-09-08
644,gail2190,anthony576,88.08,2018-09-08
645,john.hardy,paula7980,78.11,2018-09-08
646,fox,scott3928,58.7,2018-09-08
647,ehernandez,thompson2327,18.63,2018-09-09
648,parsons,bryant,53.3,2018-09-09
649,mcarroll,jennifer.hebert,82.67,2018-09-09
650,manning8686,vang,29.97,2018-09-09
651,martha.willis,christopher6861,78.48,2018-09-09
652,kimberly.decker,peter,10.91,2018-09-09
653,donald1420,matthew7940,47.61,2018-09-09
654,paul9642,martha.willis,47.27,2018-09-09
655,gregory.rios,jessica3924,75.42,2018-09-09
656,johnson3004,daniel1611,98.33,2018-09-09
657,diana,smith6903,77.45,2018-09-09
658,nicholas.travis,smith6903,93.88,2018-09-09
659,jason7792,miguel.gamble,92.44,2018-09-09
660,smith,west,72.4,2018-09-09
661,bradley,rsnow,4.71,2018-09-09
662,karen.snow,jholloway,0.06,2018-09-09
663,keith,jennifer4743,46.82,2018-09-09
664,taylor7649,mshort,1.95,2018-09-10
665,evelyn,staylor,39.07,2018-09-10
666,gail7896,heather,68.58,2018-09-10
667,dean2365,diane4652,6.82,2018-09-10
668,burton6737,jonathan5101,97.39,2018-09-10
669,mburke,tmaxwell,10.16,2018-09-10
670,young,jackson4431,60.57,2018-09-10
671,parsons,kristen1581,32.41,2018-09-10
672,jackson4431,valerie,16.71,2018-09-10
673,conley,campbell4312,73.09,2018-09-10
674,jennifer,michael7792,90.56,2018-09-10
675,twhite,hoover4302,49.42,2018-09-10
676,martin,lee3744,43.38,2018-09-10
677,rholmes,figueroa7283,90.75,2018-09-10
678,mackenzie,jbarker,13.17,2018-09-10
679,west,heather,47.63,2018-09-10
680,bryant,katrina.ingram,9.1,2018-09-10
681,edwards,lisa,99.37,2018-09-11
682,mpaul,rebecca848,1.34,2018-09-11
683,jessica3924,gail7896,28.55,2018-09-11
684,stephanie4610,daniel.livingston,66.25,2018-09-11
685,adrian.blair,alvarado,14.73,2018-09-11
686,miranda6426,kallen,64.69,2018-09-11
687,lindsay.coleman,harris7556,88.67,2018-09-11
688,edwards8658,smith6903,55.08,2018-09-11
689,bradley,king,64.36,2018-09-11
690,stevens8089,wilkins,83.64,2018-09-11
691,lgregory,tmaxwell,74.43,2018-09-12
692,kyle.gentry,cynthia5799,42.83,2018-09-12
693,tbender,evelyn,50.38,2018-09-12
694,tina3658,butler,18.74,2018-09-12
695,king,paul6364,45.94,2018-09-12
696,rebecca848,davis9225,47.55,2018-09-12
697,tina3658,ruth,95.6,2018-09-12
698,emily.anderson,michael.williams,90.26,2018-09-12
699,rodriguez9475,timothy3285,45.48,2018-09-12
700,jennifer4743,andrew6347,34.57,2018-09-12
701,sandra2565,maria955,16.88,2018-09-12
702,sheri.clements,rachel,88.72,2018-09-12
703,scott3928,martin,16.47,2018-09-12
704,jose.moreno,smith6903,3.23,2018-09-12
705,jason4651,tammy7432,20.3,2018-09-12
706,brooke2027,gstevens,92.25,2018-09-12
707,johnson,bowman,57.14,2018-09-12
708,denise3770,figueroa7283,43.65,2018-09-12
709,griffin4992,jstewart,41.52,2018-09-12
710,michael7792,david,98.72,2018-09-12
711,boyer7005,brian.barnes,51.64,2018-09-12
712,ruiz2577,kelly7722,89.46,2018-09-12
713,fuller3354,isabella,89.13,2018-09-13
714,aaron,christine.brown,82.1,2018-09-13
715,jlong,william2231,26.03,2018-09-13
716,king,fuller3354,55.54,2018-09-13
717,mikayla.west,lmoore,95.19,2018-09-13
718,mikayla.west,andrew6347,44.54,2018-09-13
719,sophia.perez,nancy,88.97,2018-09-13
720,lauren,hall,0.64,2018-09-13
721,jennifer.wong,lcruz,3.63,2018-09-13
722,rose.eaton,hamilton,24.22,2018-09-13
723,peter,wking,59.57,2018-09-13
724,robinson,taylor2783,76.33,2018-09-13
725,lacey8987,miguel.gamble,71.99,2018-09-13
726,kent,william,37.22,2018-09-13
727,jessica3924,daniel,51.09,2018-09-14
728,mjohnson,mcarroll,49.05,2018-09-14
729,kyle.gentry,spadilla,43.78,2018-09-14
730,austin486,brian7426,72.28,2018-09-14
731,jones5796,jlong,46.74,2018-09-14
732,martinez,gstevens,3.21,2018-09-14
733,james,jennifer.hendrix,3.17,2018-09-14
734,sophia.perez,maria955,88.21,2018-09-14
735,miranda6426,mcarroll,31.95,2018-09-14
736,shelly,hdeleon,81.94,2018-09-14
737,holden4580,ortiz5962,55.95,2018-09-14
738,sthompson,martha.willis,28.78,2018-09-14
739,bpowers,hdeleon,32.47,2018-09-14
740,steven3847,sfinley,9.22,2018-09-14
741,ekidd,sfinley,9.72,2018-09-14
742,butler,scott3928,79.28,2018-09-14
743,brandon,evelyn,76.21,2018-09-14
744,tbender,sanders,33.14,2018-09-15
745,awilliams,jcastaneda,80.62,2018-09-15
746,zachary.neal,ortiz5962,89.42,2018-09-15
747,ortiz5962,kelly7722,44.79,2018-09-15
748,andrew6347,edwards8658,68.42,2018-09-15
749,ariley,mshort,47.8,2018-09-15
750,peter,edwards,24.6,2018-09-15
751,theresa5909,adrian.blair,83.59,2018-09-15
752,collin,wilson,5.01,2018-09-15
753,roman7509,fuentes,17.95,2018-09-15
754,bowman,danderson,88.54,2018-09-15
755,joel8826,donald1420,43.68,2018-09-15
756,gail7896,lucero5925,49.02,2018-09-15
757,erin,david,58.51,2018-09-15
758,kirk,miranda6426,18.64,2018-09-15
759,jcastaneda,martha6969,18.66,2018-09-15
760,taylor2783,carl.fox,66.41,2018-09-15
761,david2796,joshua9690,60.54,2018-09-16
762,angela7209,corey,35.39,2018-09-16
763,daniel.williams,aaron,35.2,2018-09-16
764,grant1643,rachel,96.77,2018-09-16
765,moore,clark8139,14.54,2018-09-16
766,kathy,hdeleon,3.05,2018-09-16
767,dana.andrews,tammy.brown,31.34,2018-09-16
768,carl.fox,diana1995,95.9,2018-09-16
769,dedwards,scott3928,60.91,2018-09-16
770,miguel.gamble,phillips5654,11.35,2018-09-16
771,debra,sexton,16.01,2018-09-16
772,hdeleon,christopher,56.35,2018-09-16
773,michael7792,jennifer4743,69.97,2018-09-16
774,harold,ehaney,11.03,2018-09-16
775,april9082,scott3928,81.46,2018-09-16
776,ortiz5962,robert284,34.37,2018-09-16
777,jstewart,jesus9614,92.14,2018-09-16
778,owens,mark20,55.79,2018-09-16
779,rachel.ellison,robert,57.56,2018-09-16
780,awilliams,gstevens,52.05,2018-09-16
781,tina3658,mcarroll,10.11,2018-09-17
782,jholloway,jessica3924,68.55,2018-09-17
783,cynthia5799,mays,92.2,2018-09-17
784,graham,jessica,46.55,2018-09-17
785,stein,dana.andrews,87.41,2018-09-17
786,paul9642,jholloway,6.12,2018-09-17
787,king3246,donald1420,23.83,2018-09-17
788,andrew.alvarez,kevin,74.01,2018-09-17
789,miranda6426,blair4952,77.8,2018-09-17
790,james,dale,25.34,2018-09-17
791,jramsey,sarah,12.59,2018-09-17
792,evelyn,linda,47.49,2018-09-17
793,jason4651,leah6255,79.78,2018-09-17
794,miguel.gamble,calvin.perez,9.59,2018-09-17
795,darlene.adams,lcruz,82.25,2018-09-17
796,rachel,brooke2027,71.71,2018-09-17
797,hdeleon,johnston2281,48.26,2018-09-17
798,owens,medina891,28.86,2018-09-17
799,chorne,young,49.66,2018-09-17
800,fuentes,robinson5269,80.39,2018-09-17
801,christina.banks,fuentes,14.23,2018-09-17
802,dean2365,alvarado,45.58,2018-09-17
803,samuel.conner,aaron,96.88,2018-09-17
804,nicholas.travis,west,73.41,2018-09-17
805,jacob.davis,jennifer,85.13,2018-09-18
806,twhite,hdeleon,17.05,2018-09-18
807,shernandez,hdeleon,4.23,2018-09-18
808,carl.fox,johnson,67.13,2018-09-18
809,edwards,peters1942,89.63,2018-09-18
810,stephanie5596,eugene4448,45.04,2018-09-18
811,ortiz5962,johnston2281,19.46,2018-09-18
812,peter,sandra2071,30.53,2018-09-18
813,harold,brown6798,24.41,2018-09-18
814,nichols,shernandez,4.46,2018-09-18
815,edward1527,kyle.gentry,23.97,2018-09-18
816,lawson,sbennett,28.44,2018-09-18
817,andrew.alvarez,james,28.16,2018-09-18
818,patricia2613,jserrano,58.83,2018-09-18
819,fisher,ross9165,25.05,2018-09-18
820,cox192,fox,91.08,2018-09-18
821,ekidd,kelly7722,50.66,2018-09-18
822,sandra.vaughn,theresa5909,68.59,2018-09-18
823,ekidd,rodriguez5768,16.87,2018-09-18
824,smith6903,jerry,68.89,2018-09-18
825,clark8139,blankenship,74.85,2018-09-18
826,tyler.zavala,hmiller,97.39,2018-09-18
827,roman7509,young,33.91,2018-09-18
828,jramos,jerry,23.84,2018-09-18
829,dana.andrews,jdiaz,32.23,2018-09-18
830,jennifer4743,miller,2.32,2018-09-18
831,samuel.conner,tina3658,8.53,2018-09-18
832,jones5796,alvarez,36.45,2018-09-19
833,aaron,dawn,91.08,2018-09-19
834,gibson9198,bowman,46.28,2018-09-19
835,nancy,peters1942,66.24,2018-09-19
836,ross9165,edwards,81.98,2018-09-19
837,harris7556,john.hardy,85.33,2018-09-19
838,sheri.clements,campbell4312,23.02,2018-09-19
839,collins,david.barnett,49.52,2018-09-19
840,alvarez,jeremy1104,23.84,2018-09-19
841,collin,tamara,97.85,2018-09-19
842,jennifer.hebert,mays,68.84,2018-09-19
843,victor,william2231,77.44,2018-09-20
844,gregory7148,jennifer.wong,49.65,2018-09-20
845,timothy.heath,sarah.evans,35.51,2018-09-20
846,sexton,alvarez,84.24,2018-09-20
847,alvarez,patricia2613,73.51,2018-09-20
848,sophia.perez,keith2323,69.06,2018-09-20
849,emily.anderson,jramos,14.57,2018-09-20
850,johnson,jennifer.hebert,72.18,2018-09-20
851,diane4652,andrade,77.85,2018-09-20
852,denise3770,flores,25.7,2018-09-20
853,rodriguez9475,alvarez,29.19,2018-09-20
854,james,rholmes,64.71,2018-09-20
855,martha6969,jennifer.hebert,33.94,2018-09-20
856,parker,gregory.rios,8.11,2018-09-20
857,reid,alvarez,41.85,2018-09-20
858,smercer,tammy.brown,68.06,2018-09-20
859,gregory7148,lindsay.coleman,96.52,2018-09-20
860,tyler.zavala,mpaul,14.38,2018-09-20
861,taylor7649,smith8419,85.97,2018-09-20
862,theresa5909,adrian.blair,59.51,2018-09-20
863,lawrence1685,zachary.neal,4.08,2018-09-20
864,conley,jonathan5101,14.07,2018-09-21
865,fuentes,payne,76.73,2018-09-21
866,mark8466,miranda6426,53.91,2018-09-21
867,gail2190,aaron,47.91,2018-09-21
868,coleman,amanda,83.6,2018-09-21
869,kelly5683,sfinley,23.31,2018-09-21
870,andrade,sthompson,14.07,2018-09-21
871,sstanton,corey.ingram,77.12,2018-09-21
872,ekidd,spence,41.38,2018-09-21
873,martha.willis,alexander7808,57.78,2018-09-21
874,darlene.adams,collin,15.59,2018-09-21
875,gregory9829,acook,94.65,2018-09-21
876,nelson,sanders,8.46,2018-09-21
877,april9082,jacob.davis,50.37,2018-09-21
878,roberts,alvarez,58.03,2018-09-21
879,fernandez,nathaniel,99.4,2018-09-21
880,rebecca848,parker,59.28,2018-09-21
881,fox,mark1605,92.13,2018-09-21
882,andersen,singh2309,7.37,2018-09-21
883,aaron,cox192,89.11,2018-09-21
884,melvin9380,rebecca,75.35,2018-09-21
885,tammy7432,jessica3924,9.41,2018-09-21
886,miller,clayton6074,63.22,2018-09-21
887,katherine,brown6798,17.91,2018-09-21
888,lmoore,lgregory,34.4,2018-09-21
889,victor,anthony1788,39.06,2018-09-21
890,sophia.perez,sbennett,99.05,2018-09-21
891,darlene.adams,shelly,88.78,2018-09-21
892,hdeleon,staylor,44.57,2018-09-21
893,smercer,heather,98.13,2018-09-22
894,jbarker,roberts,29.79,2018-09-22
895,smercer,jcoleman,17.4,2018-09-22
896,miller,sfinley,47.55,2018-09-22
897,smercer,sandra2565,69.15,2018-09-22
898,bowers9648,jessica3924,9.57,2018-09-22
899,amanda,jcordova,48.67,2018-09-22
900,andersen,corey.ingram,4.81,2018-09-22
901,sanders,rodriguez585,51.25,2018-09-22
902,amanda,rodriguez585,22.16,2018-09-22
903,lauren,king,93.48,2018-09-22
904,william2231,michael.olson,59.97,2018-09-22
905,wking,hdeleon,85.86,2018-09-22
906,amanda,gregory9829,58.92,2018-09-22
907,vang,brown6798,48.45,2018-09-22
908,aaron,patricia2613,97.32,2018-09-22
909,kelly5683,tina3658,69.05,2018-09-22
910,joseph.lopez,peter,23.23,2018-09-22
911,sanders,paige.lewis,96.56,2018-09-22
912,jason4651,davis,57.63,2018-09-23
913,paul9642,hdeleon,53.49,2018-09-23
914,paul6364,thomas.price,37.37,2018-09-23
915,shernandez,david5498,68.51,2018-09-23
916,roberts,parker,19.2,2018-09-23
917,charles559,miranda6426,79.48,2018-09-23
918,alvarez,fuller3354,32.29,2018-09-23
919,kyle.gentry,joseph2431,6.0,2018-09-23
920,thompson2826,brian7426,63.05,2018-09-23
921,sarah,brown6798,24.03,2018-09-23
922,jason,corey.ingram,37.21,2018-09-23
923,fernandez,christopher,52.18,2018-09-23
924,joseph.lopez,kara,64.12,2018-09-23
925,thompson2826,jackson4431,87.85,2018-09-23
926,angela7209,guzman4000,52.81,2018-09-23
927,janet.williams,bsmith,50.15,2018-09-23
928,miller,jramos,20.95,2018-09-24
929,heather,kelly5683,35.71,2018-09-24
930,bradley3953,hamilton4258,86.62,2018-09-24
931,aaron,steven3847,65.81,2018-09-24
932,clayton6074,mpaul,14.41,2018-09-24
933,david.barnett,wilkins,94.59,2018-09-24
934,robert8280,roger,98.35,2018-09-24
935,samuel1489,martha.willis,43.41,2018-09-24
936,elizabeth,sanders,18.97,2018-09-24
937,jstewart,danderson,95.78,2018-09-24
938,emily,watts,81.58,2018-09-24
939,valerie,ortiz5962,98.6,2018-09-24
940,melanie,thomas.price,33.16,2018-09-24
941,rogers,mcarroll,63.37,2018-09-24
942,john.smith,victor,54.37,2018-09-24
943,thomas.price,timothy.heath,57.53,2018-09-24
944,jacob.davis,parker4621,71.86,2018-09-24
945,bsmith,john,18.16,2018-09-24
946,april9082,martin,46.55,2018-09-24
947,thompson9387,daniel1611,13.0,2018-09-24
948,nathaniel,jennifer.walker,15.75,2018-09-24
949,sbennett,robert8280,99.46,2018-09-24
950,fuentes,jcoleman,40.48,2018-09-24
951,sbennett,john,8.38,2018-09-24
952,mevans,brett643,65.22,2018-09-24
953,david,kyle.gentry,55.52,2018-09-24
954,jerome.sims,gregory.blackwell,35.49,2018-09-24
955,gregory.blackwell,parker,0.53,2018-09-24
956,heather.wade,mburke,29.14,2018-09-25
957,lisa8780,pamela,89.15,2018-09-25
958,robert8280,anthony1788,29.44,2018-09-25
959,alexander7808,aaron,79.54,2018-09-25
960,bradley7808,heather.wade,61.45,2018-09-25
961,dustin.fowler,patricia,19.79,2018-09-25
962,patricia2613,martha.willis,33.88,2018-09-25
963,stanley7729,joseph.lopez,50.84,2018-09-25
964,medina891,smercer,86.31,2018-09-25
965,andrew6347,mcclain9882,9.33,2018-09-25
966,heather.wade,freeman,73.37,2018-09-25
967,eharding,joel8826,93.99,2018-09-25
968,john,thomas.price,9.07,2018-09-25
969,mcclain9882,kelly7722,26.57,2018-09-25
970,vang,john,68.11,2018-09-25
971,victor,tbender,83.83,2018-09-25
972,jramsey,brown6798,96.81,2018-09-25
973,pamela,reid,36.33,2018-09-25
974,massey2102,mevans,18.12,2018-09-25
975,shelly,robert8280,32.83,2018-09-25
976,dedwards,john,3.12,2018-09-25
977,martha6969,patricia,87.33,2018-09-25
978,jstewart,martha6969,80.96,2018-09-25
979,patricia,corey,65.35,2018-09-25
980,heather.wade,sandra2071,36.01,2018-09-25
981,patricia,timothy3285,36.09,2018-09-25
982,michelle4225,peter,12.92,2018-09-25
983,april9082,klein,5.94,2018-09-25
984,maria955,heather.wade,41.67,2018-09-25
985,diana1995,mcclain9882,30.59,2018-09-25
986,melissa.mendoza,theresa5909,88.3,2018-09-25
987,alvarado,pamela,48.74,2018-09-25
988,victor,kpratt,12.95,2018-09-25
989,joshua9690,dana.andrews,38.05,2018-09-25
990,robert,heather.wade,86.44,2018-09-25
991,robert8280,linda,62.44,2018-09-25
992,pamela,caleb,25.01,2018-09-25
993,coleman,sarah.evans,36.29,2018-09-25
994,king3246,john,25.37,2018-09-25
995,shernandez,kristen1581,75.77,2018-09-25
996,leah6255,jholloway,63.62,2018-09-25
997,pamela,michelle4225,2.54,2018-09-25
